,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,15301728,13817232.0,13817232.0,15301728.0,1440599.0,3328063.0,2999084.0,2972667.0,3056240.0,6576562.0,2435688.0,2288877.0,2886459.0,10034121.0,9810229.0,10243105.0,0.0,15301728.0,15301728.0,15301728.0
unique,266,,,,,,,,,,,,,,,,,,,
top,48_201_0671,,,,,,,,,,,,,,,,,,,
freq,114192,,,,,,,,,,,,,,,,,,,
mean,,30.460290908813477,-97.4172592163086,1309656450.0,237.09884643554688,-14.627069473266602,3.470021963119507,6.940130710601807,10.276912689208984,26.255447387695312,9.190093040466309,1.1595228910446167,0.3665948510169983,68.32032775878906,175.7574462890625,7.337160587310791,,13.0,15.680327868852459,6.5109289617486334
std,,1.8239363431930542,3.059046506881714,9128576.798074817,647.0047607421875,6143.57861328125,13.684741973876953,7.858879566192627,18.806411743164062,17.731531143188477,7.104637145996094,16.936065673828125,0.4611724019050598,23.479293823242188,93.52342224121094,4.713286399841309,,3.741657509036524,8.817766501031883,3.4551998391061054
min,,25.89251708984375,-106.54730224609375,1293865200.0,-50549.0859375,-499989.46875,-511.6375732421875,-492.536376953125,-682.7940673828125,-689.3500366210938,-4.817599773406982,-509.48492431640625,-0.03460000082850456,-3276.699951171875,0.0,0.0,,7.0,1.0,1.0
25%,,29.54624366760254,-97.93222045898438,1301750925.0,95.7287368774414,45.07400131225586,0.05017999932169914,2.0597798824310303,2.3421499729156494,15.007740020751953,4.878699779510498,-0.13300000131130219,0.0003000000142492354,56.900001525878906,116.5999984741211,3.799999952316284,,10.0,8.0,4.0
50%,,29.89568328857422,-97.1129150390625,1309656450.0,169.2013397216797,65.78170013427734,0.4630599915981293,4.215859889984131,4.860429763793945,25.450000762939453,8.00979995727539,0.20032000541687012,0.09059999883174896,71.69999694824219,171.1999969482422,6.5,,13.0,16.0,7.0
75%,,31.83657455444336,-95.2572250366211,1317561975.0,283.1983947753906,81.55999755859375,1.6499799489974976,8.800569534301758,10.624319076538086,36.07251739501953,11.919024467468262,0.7756800055503845,0.7265999913215637,80.80000305175781,232.6999969482422,9.899999618530273,,16.0,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1325447700.0,52270.1171875,1851.489990234375,688.5750732421875,396.6422119140625,718.1284790039062,292.4583435058594,1000.239990234375,1214.27734375,1.9359999895095825,3276.699951171875,360.0,55.75270080566406,,19.0,31.0,12.0
