,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,34573824,30462912.0,30462912.0,35838720.0,1853517.0,1538368.0,3500057.0,3985856.0,4418876.0,7113663.0,0.0,2200052.0,1887148.0,10418483.0,10452570.0,10509590.0,0.0,35838720.0,35838720.0,35838720.0
unique,326,,,,,,,,,,,,,,,,,,,
top,48_245_0628,,,,,,,,,,,,,,,,,,,
freq,210816,,,,,,,,,,,,,,,,,,,
mean,,30.540904998779297,-97.41065216064453,994118250.0,544.493896484375,71.86238861083984,6.858189105987549,11.10888671875,17.93106460571289,26.244285583496094,,1.4876214265823364,0.26340746879577637,67.78584289550781,159.6138153076172,6.802391529083252,,11.5,15.680327868852459,6.5109289617486334
std,,1.8166697025299072,3.0647881031036377,9128600.703157226,748.0679931640625,28.05751609802246,24.34742546081543,10.862550735473633,31.984210968017578,18.824968338012695,,7.219008445739746,0.3924047350883484,15.424590110778809,93.13465881347656,4.230353355407715,,6.922186649005863,8.81776633592223,3.4551997744086784
min,,25.89251708984375,-106.54730224609375,978307200.0,-6523.419921875,-175.47000122070312,-138.92239379882812,-339.25982666015625,-183.14598083496094,-324.7082824707031,,-17.141529083251953,-0.03920000046491623,-153.60000610351562,0.0,0.0,,0.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,986212725.0,230.8321075439453,53.97999954223633,-0.20247000455856323,3.390660047531128,3.130039930343628,11.943134307861328,,-0.6192799806594849,-0.00019999999494757503,56.70000076293945,95.60001373291016,3.700000047683716,,5.75,8.0,4.0
50%,,29.961124420166016,-97.0707015991211,994118250.0,372.1190490722656,73.1500015258789,0.386680006980896,7.635680198669434,8.195694923400879,24.04962921142578,,0.1686599999666214,0.007799999788403511,70.5,152.39999389648438,6.099999904632568,,11.5,16.0,7.0
75%,,31.89391326904297,-95.25360107421875,1002023775.0,618.1627197265625,92.04000091552734,3.09689998626709,15.489609718322754,19.420549392700195,37.50345993041992,,1.530940055847168,0.44699999690055847,79.30000305175781,205.60000610351562,9.199999809265137,,17.25,23.0,10.0
max,,35.382747650146484,-93.741943359375,1009929300.0,49114.78125,137.8800048828125,708.1307983398438,451.9080810546875,738.9085693359375,312.06085205078125,,696.4703369140625,1.7660000324249268,133.6999969482422,360.0,50.900001525878906,,23.0,31.0,12.0
