,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,10270701,10270701.0,10270701.0,10270701.0,80068.0,1446244.0,49017.0,2839635.0,2777461.0,5672319.0,1972552.0,1874591.0,2688160.0,8809575.0,9203954.0,9144769.0,52593.0,10270701.0,10270701.0,10270701.0
unique,212,,,,,,,,,,,,,,,,,,,
top,48_141_0044,,,,,,,,,,,,,,,,,,,
freq,54069,,,,,,,,,,,,,,,,,,,
mean,,30.664783477783203,-97.26826477050781,1498410757.779503,165.9579620361328,67.81551361083984,3.6926069259643555,5.828707218170166,8.60156536102295,25.18387794494629,7.985095024108887,0.764801561832428,0.9669784307479858,69.35179901123047,167.4541473388672,6.488816738128662,60.959991455078125,12.991456279371778,15.335016081180827,6.314784648097535
std,,1.9339689016342163,2.768538475036621,8511244.809613569,73.65283203125,22.711524963378906,13.233155250549316,7.172071933746338,15.552605628967285,15.836389541625977,9.223645210266113,4.854272365570068,8.055473327636719,14.470181465148926,95.00248718261719,4.263248443603516,13.135970115661621,3.7411395745859237,8.780992106811365,3.242667246293515
min,,25.89251708984375,-106.54730224609375,1483254000.0,-1000.0,0.0,-23.5137996673584,-592.9119873046875,-669.3070068359375,-1000.0,-15.0,-454.5539855957031,-26.360000610351562,-99.0999984741211,0.0,0.0,8.460000038146973,7.0,1.0,1.0
25%,,29.589445114135742,-97.88818359375,1491206100.0,128.91725158691406,53.242000579833984,0.22795000672340393,1.4862099885940552,1.7527799606323242,14.806500434875488,4.106500148773193,0.0,0.0,61.22999954223633,102.30000305175781,3.4000000953674316,54.65999984741211,10.0,8.0,4.0
50%,,29.962474822998047,-97.10832977294922,1498471800.0,155.77899169921875,71.5199966430664,0.8146499991416931,3.3981199264526367,3.955430030822754,24.445999145507812,6.915349960327148,0.22675000131130219,0.10450000315904617,71.80000305175781,164.39999389648438,5.78000020980835,65.30000305175781,13.0,15.0,6.0
75%,,32.48181915283203,-95.28409576416016,1505814300.0,188.20274353027344,86.0,2.3939900398254395,7.568459987640381,9.173239707946777,34.650001525878906,10.261224746704102,0.5812600255012512,0.7160999774932861,79.05999755859375,220.1699981689453,8.800000190734863,70.91999816894531,16.0,23.0,9.0
max,,35.67620086669922,-93.72589874267578,1513177800.0,1000.0,1000.0,517.5640258789062,520.8779907226562,629.3800048828125,400.4339904785156,999.2020263671875,556.8770141601562,181.86599731445312,1000.0,360.0,1000.0,78.43000030517578,19.0,31.0,12.0
