,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,20738629,20738629.0,20738629.0,20738629.0,156687.0,3718770.0,99545.0,6322279.0,6168167.0,11622013.0,5245386.0,3568630.0,5345442.0,17332689.0,18211591.0,18108346.0,105002.0,20738629.0,20738629.0,20738629.0
unique,205,,,,,,,,,,,,,,,,,,,
top,48_439_1018,,,,,,,,,,,,,,,,,,,
freq,105120,,,,,,,,,,,,,,,,,,,
mean,,30.44622802734375,-97.16879272460938,1435862805.5386448,169.1820068359375,69.11061096191406,3.425548791885376,6.396758079528809,9.455096244812012,25.67286491394043,8.624824523925781,0.2675343155860901,0.25253257155418396,69.06214141845703,160.96707153320312,6.480632305145264,59.84304428100586,11.498202074978051,15.717037514871402,6.535973810033441
std,,1.894843339920044,2.679579019546509,8955575.656367602,73.70556640625,23.629274368286133,13.176262855529785,7.958821773529053,17.948688507080078,18.376415252685547,7.40458345413208,2.6920902729034424,0.4457050859928131,16.584476470947266,93.9959945678711,4.078708648681641,13.544889450073242,6.922461076975558,8.800098865086682,3.392537017922113
min,,25.89251708984375,-106.54730224609375,1420070400.0,-47.560001373291016,-204.72999572753906,-3.538330078125,-304.6239929199219,-961.8610229492188,-1000.0,-15.0,-254.64199829101562,-14.257100105285645,-408.20001220703125,0.0,0.0,-0.5,0.0,1.0,1.0
25%,,29.520442962646484,-97.73028564453125,1428242700.0,122.35150146484375,55.20000076293945,0.18324999511241913,1.5811100006103516,1.8198200464248657,15.020299911499023,4.28000020980835,-0.1350499987602234,0.0,58.540000915527344,97.80000305175781,3.5,51.0,5.0,8.0,4.0
50%,,29.867755889892578,-97.10832977294922,1435894500.0,153.13800048828125,73.88400268554688,0.7075300216674805,3.774970054626465,4.333079814910889,24.245399475097656,7.267099857330322,0.13244999945163727,0.004800000227987766,72.0999984741211,154.89999389648438,5.800000190734863,64.5,11.0,16.0,7.0
75%,,32.34400939941406,-95.28409576416016,1443522900.0,195.46099853515625,86.58000183105469,1.9494099617004395,8.32804012298584,9.977234840393066,35.01940155029297,11.355600357055664,0.46152999997138977,0.408394992351532,80.41999816894531,206.6999969482422,8.699999809265137,70.80000305175781,17.0,23.0,9.0
max,,35.382747650146484,-93.76134490966797,1451606100.0,1000.0,499.739990234375,473.50299072265625,710.7069702148438,1000.0,299.6499938964844,998.8829956054688,1000.0,45.13059997558594,470.42999267578125,360.0,1000.0,86.80000305175781,23.0,31.0,12.0
