,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,11231465,11231465.0,11231465.0,11231465.0,84716.0,2014048.0,52197.0,3326126.0,3244647.0,6406399.0,2835706.0,1978449.0,2894631.0,9386397.0,9862118.0,9806159.0,56834.0,11231465.0,11231465.0,11231465.0
unique,205,,,,,,,,,,,,,,,,,,,
top,48_439_1018,,,,,,,,,,,,,,,,,,,
freq,56940,,,,,,,,,,,,,,,,,,,
mean,,30.446170806884766,-97.16905975341797,1435868524.3876555,170.230712890625,72.12247467041016,4.936465263366699,6.402649402618408,10.182299613952637,23.10244369506836,8.42308521270752,0.26296913623809814,0.3296620547771454,67.38472747802734,165.0733184814453,6.283787727355957,59.6836051940918,12.998407509616955,15.716054673188227,6.536125874941515
std,,1.8946774005889893,2.6800665855407715,8955846.571216142,78.57445526123047,22.848196029663086,17.093486785888672,7.598208427429199,18.479066848754883,17.563045501708984,7.45890474319458,3.0840861797332764,0.49061518907546997,16.669357299804688,98.19171905517578,4.08488130569458,13.68726634979248,3.741609479848717,8.79998428495919,3.392650817249307
min,,25.89251708984375,-106.54730224609375,1420095600.0,-31.783000946044922,-204.72999572753906,-3.538330078125,-304.6239929199219,-250.53500366210938,-974.3920288085938,-15.0,-254.64199829101562,-14.257100105285645,-197.39999389648438,0.0,0.0,-0.5,7.0,1.0,1.0
25%,,29.520442962646484,-97.73028564453125,1428244500.0,122.76399993896484,59.0984992980957,0.35082000494003296,1.6634999513626099,1.9685300588607788,12.850700378417969,4.119999885559082,-0.14901000261306763,0.0,56.400001525878906,92.30000305175781,3.309999942779541,50.70000076293945,10.0,8.0,4.0
50%,,29.867755889892578,-97.10832977294922,1435914300.0,153.07550048828125,77.11000061035156,1.0611599683761597,3.9231200218200684,4.663919925689697,21.863500595092773,7.099800109863281,0.1182200014591217,0.07349999994039536,70.58000183105469,161.39999389648438,5.599999904632568,64.5,13.0,16.0,7.0
75%,,32.34400939941406,-95.28409576416016,1443531000.0,194.53175354003906,88.41999816894531,2.957520008087158,8.550992012023926,10.800000190734863,31.598800659179688,11.140000343322754,0.4605199992656708,0.616100013256073,78.97000122070312,221.94000244140625,8.5,70.5999984741211,16.0,23.0,9.0
max,,35.382747650146484,-93.76134490966797,1451591700.0,1000.0,499.739990234375,473.50299072265625,559.2000122070312,695.3469848632812,299.6499938964844,998.8829956054688,1000.0,45.13059997558594,470.42999267578125,360.0,1000.0,86.80000305175781,19.0,31.0,12.0
