,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,33928416,29911968.0,29911968.0,33928416.0,2194005.0,2736130.0,4012287.0,5149862.0,5286743.0,9479926.0,0.0,2363103.0,5076180.0,12427788.0,12590189.0,12598366.0,0.0,33928416.0,33928416.0,33928416.0
unique,319,,,,,,,,,,,,,,,,,,,
top,48_201_0671,,,,,,,,,,,,,,,,,,,
freq,211392,,,,,,,,,,,,,,,,,,,
mean,,30.536104202270508,-97.4141616821289,1088769450.0,457.05657958984375,63.65922164916992,4.9959259033203125,9.183557510375977,13.862741470336914,26.46295166015625,,1.6814123392105103,0.25214841961860657,67.87813568115234,164.74502563476562,6.7725443840026855,,11.5,15.716621253405995,6.498637602179836
std,,1.8171257972717285,3.073411226272583,9153542.242325567,653.9468383789062,23.988033294677734,18.757081985473633,9.94843864440918,26.103878021240234,18.499425888061523,,5.950760841369629,0.38327091932296753,15.629257202148438,95.06253814697266,4.283853530883789,,6.922186654443369,8.833076531987802,3.458492469059156
min,,25.89251708984375,-106.54730224609375,1072915200.0,-40770.09375,-121.80000305175781,-168.6695556640625,-199.0226593017578,-330.1466979980469,-397.89495849609375,,-160.47825622558594,-0.1128000020980835,-99.0,0.0,0.0,,0.0,1.0,1.0
25%,,29.54624366760254,-97.93728637695312,1080842325.0,205.86172485351562,46.099998474121094,0.10244999825954437,2.6474199295043945,2.9542899131774902,13.25967025756836,,-0.049869999289512634,0.0003000000142492354,58.099998474121094,98.4000015258789,3.5999999046325684,,5.75,8.0,3.0
50%,,29.961124420166016,-97.0707015991211,1088769450.0,325.64031982421875,66.9000015258789,0.5523099899291992,6.001460075378418,6.770559787750244,24.371789932250977,,0.37466999888420105,0.006599999964237213,70.5,157.39999389648438,6.0,,11.5,16.0,7.0
75%,,31.89391326904297,-95.25360107421875,1096696575.0,493.7735595703125,83.93000030517578,2.109649896621704,12.702710151672363,15.381010055541992,36.95178985595703,,1.7504700422286987,0.40939998626708984,79.0999984741211,218.10000610351562,9.199999809265137,,17.25,23.0,10.0
max,,35.382747650146484,-93.741943359375,1104623700.0,40035.68359375,794.09228515625,710.3563842773438,557.1032104492188,1080.4063720703125,297.054931640625,,675.9177856445312,2.00570011138916,228.6999969482422,360.0,60.0,,23.0,31.0,12.0
