,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,15587208,14102712.0,14102712.0,15587208.0,1422566.0,3383402.0,2705987.0,3018878.0,3077528.0,6424041.0,2802082.0,1936684.0,3236194.0,9707118.0,9850944.0,9859923.0,0.0,15587208.0,15587208.0,15587208.0
unique,271,,,,,,,,,,,,,,,,,,,
top,48_245_0628,,,,,,,,,,,,,,,,,,,
freq,114192,,,,,,,,,,,,,,,,,,,
mean,,30.472904205322266,-97.41276550292969,1278120450.0,222.0049285888672,-2533.085693359375,3.591902732849121,7.19196081161499,10.768848419189453,24.253154754638672,8.854564666748047,0.8684326410293579,0.3588140606880188,66.79936218261719,172.1239471435547,6.803799629211426,,13.0,15.680327868852459,6.5109289617486334
std,,1.8179477453231812,3.032078981399536,9128576.792611703,300.67266845703125,50919.98828125,14.349737167358398,7.969491481781006,19.82608413696289,17.81049919128418,6.42591667175293,8.096385955810547,0.4514024257659912,20.09150505065918,97.20670318603516,4.545899868011475,,3.741657506797283,8.817766495754785,3.4551998370382973
min,,25.89251708984375,-106.54730224609375,1262329200.0,-3122.4609375,-1000000.0,-177.59352111816406,-24.828149795532227,-24.172969818115234,-1382.7177734375,-4.70989990234375,-26.790929794311523,-0.03454999998211861,-1228.0999755859375,0.0,0.0,,7.0,1.0,1.0
25%,,29.54624366760254,-97.93222045898438,1270214925.0,90.43245697021484,51.02000045776367,0.058435000479221344,2.209520101547241,2.5290400981903076,12.880780220031738,4.626999855041504,-0.19489000737667084,0.0003000000142492354,54.599998474121094,102.4000015258789,3.44569993019104,,10.0,8.0,4.0
50%,,29.901037216186523,-97.1300048828125,1278120450.0,178.67242431640625,70.1500015258789,0.4706200063228607,4.496119976043701,5.077509880065918,23.56100082397461,7.761899948120117,0.20332999527454376,0.09319999814033508,69.69999694824219,165.8000030517578,5.96750020980835,,13.0,16.0,7.0
75%,,31.862470626831055,-95.2572250366211,1286025975.0,294.4288330078125,83.98999786376953,1.7229000329971313,9.249409675598145,11.06302261352539,34.54999923706055,11.797499656677246,0.8706799745559692,0.701200008392334,79.69999694824219,237.8000030517578,9.200050354003906,,16.0,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1293911700.0,35028.25,1851.489990234375,719.7770385742188,393.02642822265625,716.39404296875,306.8666687011719,724.4600219726562,1530.0421142578125,1.933899998664856,2700.800048828125,360.0,56.0,,19.0,31.0,12.0
