,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,34152192,30146688.0,30146688.0,34152192.0,1948738.0,2603025.0,3687197.0,4757156.0,4866594.0,8268701.0,0.0,2103629.0,4508377.0,11935787.0,12007182.0,12060900.0,0.0,34152192.0,34152192.0,34152192.0
unique,322,,,,,,,,,,,,,,,,,,,
top,48_201_0671,,,,,,,,,,,,,,,,,,,
freq,210816,,,,,,,,,,,,,,,,,,,
mean,,30.548234939575195,-97.39177703857422,1057190250.0,559.0435791015625,63.83201599121094,5.345186233520508,9.856977462768555,15.233152389526367,27.418344497680664,,1.6480895280838013,0.2504831552505493,68.00654602050781,166.21768188476562,6.697628974914551,,11.5,15.680327868852459,6.5109289617486334
std,,1.816989541053772,3.06699538230896,9128600.709446428,792.19140625,28.23357582092285,20.815052032470703,10.064136505126953,27.948766708374023,19.054224014282227,,6.505359649658203,0.38081589341163635,15.49599838256836,96.23603057861328,4.374441146850586,,6.922186653774956,8.817766341997293,3.455199776789165
min,,25.89251708984375,-106.54730224609375,1041379200.0,-5825.9560546875,-9.479999542236328,-58.522579193115234,-175.26121520996094,-535.588134765625,-367.3028869628906,,-28.0728702545166,-0.06809999793767929,-207.3000030517578,0.0,0.0,,0.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,1049284725.0,242.56002807617188,41.34000015258789,0.03894000127911568,3.0157599449157715,3.2890000343322754,13.189620018005371,,-0.08258000016212463,0.00019999999494757503,57.29999923706055,97.30000305175781,3.5,,5.75,8.0,4.0
50%,,29.96153450012207,-97.05311584472656,1057190250.0,401.584228515625,65.26329803466797,0.4717699885368347,6.519430160522461,7.385970115661621,25.368019104003906,,0.30555999279022217,0.004600000102072954,70.80000305175781,160.0,5.900000095367432,,11.5,16.0,7.0
75%,,32.02805709838867,-95.25277709960938,1065095775.0,630.1797485351562,85.83000183105469,2.0954999923706055,13.4553804397583,16.430736541748047,38.685001373291016,,1.7154699563980103,0.4106000065803528,79.4000015258789,224.10000610351562,9.0,,17.25,23.0,10.0
max,,35.382747650146484,-93.741943359375,1073001300.0,37928.43359375,584.463623046875,921.0603637695312,696.9912719726562,990.919921875,285.1945495605469,,674.2412109375,1.938599944114685,224.10000610351562,360.0,60.0,,23.0,31.0,12.0
