,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,18727488,16500744.0,16500744.0,18727488.0,987723.0,989085.0,1622077.0,2132400.0,2189639.0,3898780.0,0.0,1216382.0,1860208.0,5623217.0,5561949.0,5599461.0,0.0,18727488.0,18727488.0,18727488.0
unique,326,,,,,,,,,,,,,,,,,,,
top,48_245_0628,,,,,,,,,,,,,,,,,,,
freq,114192,,,,,,,,,,,,,,,,,,,
mean,,30.54086685180664,-97.41080474853516,1025659650.0,484.6450500488281,70.29507446289062,7.062024116516113,10.039669036865234,16.933521270751953,23.712806701660156,,0.5464385151863098,0.3369811773300171,65.61925506591797,165.49156188964844,6.930316925048828,,13.0,15.680327868852459,6.5109289617486334
std,,1.8166698217391968,3.064788341522217,9128576.743510338,638.4796142578125,29.207576751708984,24.47702980041504,9.837739944458008,31.196805953979492,17.595285415649414,,5.924586772918701,0.4340268075466156,15.801786422729492,100.05447387695312,4.355543613433838,,3.7416574866714165,8.81776644832523,3.4551998184532495
min,,25.89251708984375,-106.54730224609375,1009868400.0,-3246.0224609375,0.009999999776482582,-37.9185791015625,-151.71922302246094,-245.73681640625,-174.55918884277344,,-16.545150756835938,-0.05689999833703041,-23.899999618530273,0.0,0.0,,7.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,1017754125.0,226.33055114746094,48.790000915527344,-0.3656899929046631,3.122999906539917,2.6219398975372314,10.54481029510498,,-1.257930040359497,0.00019999999494757503,53.70000076293945,88.19999694824219,3.700000047683716,,10.0,8.0,4.0
50%,,29.961124420166016,-97.0707015991211,1025659650.0,337.8797912597656,73.29000091552734,0.300570011138916,6.95451021194458,7.433239936828613,21.4499454498291,,-0.3466799855232239,0.07959999889135361,68.69999694824219,160.10000610351562,6.199999809265137,,13.0,16.0,7.0
75%,,31.89391326904297,-95.25360107421875,1033565175.0,530.1190185546875,93.0,3.328130006790161,14.013922691345215,18.100210189819336,33.63256072998047,,0.6336600184440613,0.6463000178337097,77.9000015258789,225.5,9.300000190734863,,16.0,23.0,10.0
max,,35.382747650146484,-93.741943359375,1041450900.0,37491.2421875,220.80178833007812,805.5713500976562,355.1080627441406,872.3878173828125,198.8196258544922,,507.003662109375,1.919600009918213,126.4000015258789,360.0,60.0,,19.0,31.0,12.0
