,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,18962519,18962519.0,18962519.0,18962519.0,147619.0,2674943.0,93257.0,5403752.0,5285775.0,10305554.0,3651247.0,3379647.0,4962969.0,16266411.0,16997049.0,16887794.0,97097.0,18962519.0,18962519.0,18962519.0
unique,212,,,,,,,,,,,,,,,,,,,
top,48_141_0044,,,,,,,,,,,,,,,,,,,
freq,99825,,,,,,,,,,,,,,,,,,,
mean,,30.664600372314453,-97.26734924316406,1498406294.0733771,165.11483764648438,64.59679412841797,2.5281260013580322,5.792878150939941,7.972415924072266,27.90374183654785,8.250560760498047,0.83835768699646,0.8931907415390015,71.18270111083984,163.3224639892578,6.710593223571777,61.04933547973633,11.48736130468742,15.334641668651724,6.315155333529264
std,,1.9340064525604248,2.766817569732666,8512157.96585059,68.360595703125,23.537750244140625,10.255867958068848,7.43629264831543,14.863364219665527,16.316612243652344,9.968653678894043,6.128207683563232,8.114729881286621,14.296509742736816,91.92428588867188,4.336462020874023,13.154915809631348,6.921474629284946,8.78076148555539,3.243095745114613
min,,25.89251708984375,-106.54730224609375,1483228800.0,-1000.0,0.0,-24.40250015258789,-592.9119873046875,-669.3070068359375,-1000.0,-15.0,-454.5539855957031,-26.360000610351562,-99.5,0.0,0.0,8.460000038146973,0.0,1.0,1.0
25%,,29.589445114135742,-97.88818359375,1491183000.0,128.93399047851562,49.0,0.08884000033140182,1.3987300395965576,1.608989953994751,17.299999237060547,4.300000190734863,0.0,0.0,63.400001525878906,105.0,3.5999999046325684,54.66999816894531,5.0,8.0,4.0
50%,,29.961944580078125,-97.10832977294922,1498457400.0,155.68800354003906,68.0999984741211,0.5097399950027466,3.265630006790161,3.6764700412750244,27.322399139404297,7.109300136566162,0.23449000716209412,0.011070000007748604,73.4000015258789,156.8000030517578,6.010000228881836,65.23999786376953,11.0,15.0,6.0
75%,,32.48181915283203,-95.28409576416016,1505799300.0,188.15699768066406,83.41999816894531,1.5949000120162964,7.320000171661377,8.428099632263184,37.92919921875,10.496700286865234,0.5832399725914001,0.5059999823570251,80.69999694824219,206.3000030517578,9.09000015258789,71.20999908447266,17.0,23.0,9.0
max,,35.67620086669922,-93.72589874267578,1513177800.0,1000.0,1000.0,517.5640258789062,520.8779907226562,691.9840087890625,400.4339904785156,999.6820068359375,556.8770141601562,181.86599731445312,1000.0,360.0,1000.0,78.43000030517578,23.0,31.0,12.0
