,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,29408832,26246592.0,26246592.0,29408832.0,2787710.0,5726105.0,5166823.0,5447747.0,5559954.0,11511352.0,5069679.0,3408237.0,6029962.0,16898318.0,17052572.0,17135356.0,0.0,29408832.0,29408832.0,29408832.0
unique,277,,,,,,,,,,,,,,,,,,,
top,48_245_0628,,,,,,,,,,,,,,,,,,,
freq,210816,,,,,,,,,,,,,,,,,,,
mean,,30.474674224853516,-97.43937683105469,1246579050.0,250.7550811767578,61.04396438598633,2.831439971923828,6.997923374176025,10.095043182373047,26.44296646118164,9.417396545410156,3.885369062423706,0.2606959939002991,68.89286804199219,168.71925354003906,7.287317752838135,,11.5,15.680327868852459,6.5109289617486334
std,,1.8129076957702637,3.0748367309570312,9128600.731002165,475.8045349121094,29.408388137817383,15.12948989868164,8.233038902282715,20.27138328552246,17.498437881469727,7.088033199310303,75.07534790039062,0.3929755389690399,15.831631660461426,95.17607879638672,4.690074443817139,,6.922186670120639,8.817766362819107,3.4551997849480887
min,,25.89251708984375,-106.54730224609375,1230768000.0,-2621.266845703125,-85.77999877929688,-177.849853515625,-129.0324249267578,-31.18939971923828,-1367.0712890625,-4.9359002113342285,-1294.261474609375,-0.02070000022649765,-2366.0,0.0,0.0,,0.0,1.0,1.0
25%,,29.54888916015625,-97.93222045898438,1238673525.0,83.31494903564453,42.74589920043945,0.01665000058710575,2.0944299697875977,2.284909963607788,14.764829635620117,4.907800197601318,-0.2789900004863739,0.00019999999494757503,58.0,105.5,3.799999952316284,,5.75,8.0,4.0
50%,,29.901037216186523,-97.1300048828125,1246579050.0,178.02206420898438,64.20999908447266,0.34373000264167786,4.433440208435059,4.912209987640381,25.402469635009766,8.204999923706055,0.052730001509189606,0.006099999882280827,71.19999694824219,161.1999969482422,6.400000095367432,,11.5,16.0,7.0
75%,,31.83657455444336,-95.2572250366211,1254484575.0,300.3277282714844,80.8499984741211,1.2420849800109863,8.996899604797363,10.429240226745605,37.464210510253906,12.345800399780273,0.6050400137901306,0.4309999942779541,80.5999984741211,225.10000610351562,9.800000190734863,,17.25,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1262390100.0,44145.94921875,2479.090087890625,716.7376098632812,1064.4898681640625,730.1119384765625,298.1450500488281,879.2999877929688,1338.94677734375,1.9395999908447266,2864.800048828125,360.0,55.75469970703125,,23.0,31.0,12.0
