,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,hour,day,month
count,20353392,20353392.0,20353392.0,20353392.0,150676.0,3625088.0,99852.0,6029899.0,6035888.0,11535478.0,5357022.0,3583500.0,5380789.0,17087998.0,17973015.0,17908308.0,102304.0,20353392.0,20353392.0,20353392.0
unique,205,,,,,,,,,,,,,,,,,,,
top,48_121_0034,,,,,,,,,,,,,,,,,,,
freq,105120,,,,,,,,,,,,,,,,,,,
mean,,30.461551666259766,-97.19876861572266,1404444536.1604247,156.23773193359375,66.13269805908203,3.2850818634033203,6.339992523193359,9.076047897338867,26.373830795288086,8.931755065917969,0.333571195602417,0.2976723909378052,67.71439361572266,162.24044799804688,7.107932090759277,57.76521301269531,11.499121571480567,15.730483597033851,6.580202159915163
std,,1.9190107583999634,2.7281248569488525,8966480.280587884,71.10674285888672,22.650924682617188,12.539209365844727,7.802563667297363,17.08978271484375,16.000110626220703,8.366907119750977,2.747795343399048,1.1579320430755615,16.560659408569336,93.04158020019531,4.43782901763916,15.32857608795166,6.922434373342955,8.800668871542406,3.3967102091088526
min,,25.89251708984375,-106.54730224609375,1388534400.0,-1000.0,-137.39999389648438,-2.119189977645874,-449.5679931640625,-1000.0,-693.9849853515625,-15.0,-171.6999969482422,-2.710700035095215,-99.19999694824219,0.0,0.0,-35.5,0.0,1.0,1.0
25%,,29.520442962646484,-97.73028564453125,1396850400.0,115.99124908447266,51.77000045776367,0.2247599959373474,1.830180048942566,2.078700065612793,15.490425109863281,4.550099849700928,-0.13354000449180603,9.999999747378752e-05,57.220001220703125,101.69000244140625,3.9000000953674316,47.599998474121094,5.0,8.0,4.0
50%,,29.893848419189453,-97.10832977294922,1404525600.0,145.57650756835938,70.77999877929688,0.797469973564148,3.8522300720214844,4.362030029296875,25.217500686645508,7.5640997886657715,0.14226999878883362,0.006599999964237213,70.55000305175781,157.6999969482422,6.400000095367432,62.20000076293945,11.0,16.0,7.0
75%,,32.35359573364258,-95.26721954345703,1412125800.0,180.500244140625,83.9800033569336,2.278409957885742,8.055089950561523,9.49431037902832,36.28770065307617,11.582300186157227,0.47905999422073364,0.4300000071525574,79.9000015258789,202.89999389648438,9.600000381469727,70.69999694824219,17.0,23.0,10.0
max,,35.382747650146484,-93.76134490966797,1420070100.0,1000.0,137.80999755859375,521.5980224609375,571.4320068359375,650.1119995117188,393.04998779296875,998.9710083007812,1000.0,53.32099914550781,999.9000244140625,360.0,1000.0,100.4000015258789,23.0,31.0,12.0
