,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,135867,135867.0,135867.0,135867.0,110301.0,135867.0,0.0,0.0,0.0,131246.0,0.0,0.0,0.0,135867.0,135867.0,135867.0,0.0,135867.0,135867.0,135867.0,135867.0,135867.0,135867.0,135867.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,135867,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1488576036.8213031,182.97337341308594,58.32659149169922,,,,33.19838333129883,,,,68.42794799804688,171.05755615234375,11.241975784301758,,-4.717314511339011,2.375506787723736,8.74949767051602,62.505670987068235,16.11283829038692,2.554108061560202,2017.0
std,,0.0,0.0,1951415.0518032846,65.01901245117188,22.164392471313477,,,,11.568889617919922,,,,7.578127384185791,83.05601501464844,4.814635753631592,,9.09462395339469,6.241408641212084,8.899802882424014,22.58839726286578,9.133315314521006,0.796619749273274,0.0
min,,29.717599868774414,-95.34140014648438,1483228800.0,-139.53599548339844,6.577000141143799,,,,0.1679999977350235,,,,25.28700065612793,0.0,0.0,,-29.914106788384114,-28.277571004387546,0.0,1.0,1.0,1.0,2017.0
25%,,29.717599868774414,-95.34140014648438,1487200800.0,144.1959991455078,40.47800064086914,,,,26.209999084472656,,,,63.4370002746582,126.0,7.90500020980835,,-11.234083918823488,-1.4353758365948472,2.0,46.0,8.0,2.0,2017.0
50%,,29.717599868774414,-95.34140014648438,1488942000.0,164.64599609375,62.33399963378906,,,,33.25299835205078,,,,69.15399932861328,164.0,10.951000213623047,,-6.593101027654036,2.5051415231542586,5.0,67.0,17.0,3.0,2017.0
75%,,29.717599868774414,-95.34140014648438,1490232600.0,204.06900024414062,75.8489990234375,,,,41.23699951171875,,,,73.8499984741211,196.0,14.35200023651123,,1.7204235711026108,6.703514815390816,21.0,82.0,24.0,3.0,2017.0
max,,29.717599868774414,-95.34140014648438,1491341700.0,748.7689819335938,91.13899993896484,,,,72.572998046875,,,,86.6780014038086,359.0,34.952999114990234,,22.845912993356155,22.596413892865108,23.0,94.0,31.0,4.0,2017.0
