,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,179416,179416.0,179416.0,179416.0,0.0,179368.0,0.0,167013.0,167013.0,176623.0,92551.0,178085.0,179416.0,179368.0,179368.0,179368.0,0.0,179368.0,179368.0,179416.0,179416.0,179416.0,179416.0,179416.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,179416,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686399459838867,-95.2947006225586,1488590023.356334,,73.86420440673828,,8.869380950927734,12.221755027770996,25.019855499267578,9.807987213134766,-0.12571875751018524,0.3445391058921814,66.75921630859375,169.38763427734375,6.005918502807617,,-2.365003715079519,0.8063818482382168,13.004018593659428,62.49026285281134,16.004174655549114,2.5574530699603155,2017.0
std,,0.0,0.0,1959309.0940028564,,18.755598068237305,,7.200592517852783,15.220739364624023,12.321764945983887,6.933560371398926,1.2913215160369873,0.45832154154777527,8.905190467834473,82.22598266601562,3.413403272628784,,5.110033549629144,3.9200256722981317,3.7415919190722065,22.67703513147915,9.122557570021668,0.8033239676219892,0.0
min,,29.686389923095703,-95.29472351074219,1483254000.0,,16.59000015258789,,-5.001719951629639,-4.045100212097168,-6.314430236816406,-4.722099781036377,-12.630399703979492,0.0007999999797903001,25.600000381469727,0.0,0.10000000149011612,,-37.394023265847075,-29.58794444304809,7.0,1.0,1.0,1.0,2017.0
25%,,29.686389923095703,-95.29472351074219,1487231100.0,,61.34000015258789,,3.81289005279541,4.577280044555664,17.67099952697754,5.911600112915039,-0.3872799873352051,0.0013000000035390258,61.400001525878906,121.17499732971191,3.4000000953674316,,-5.728474937777728,-1.4338076698727809,10.0,47.0,8.0,2.0,2017.0
50%,,29.686389923095703,-95.29472351074219,1488958200.0,,80.4000015258789,,6.474720001220703,8.021940231323242,24.45439910888672,8.378899574279785,-0.2259099930524826,0.055150000378489494,67.5999984741211,171.1999969482422,5.900000095367432,,-2.5529199147681525,0.48633134097126407,13.0,67.0,17.0,3.0,2017.0
75%,,29.686389923095703,-95.29472351074219,1490257800.0,,89.33999633789062,,11.636500358581543,14.11520004272461,34.32929992675781,11.718199729919434,0.032099999487400055,0.6388999819755554,73.0,210.1999969482422,8.199999809265137,,0.38205248057349095,3.1867899126274226,16.0,82.0,24.0,3.0,2017.0
max,,29.686389923095703,-95.29472351074219,1491335700.0,,99.91000366210938,,48.56019973754883,233.16200256347656,55.392398834228516,97.23429870605469,18.728900909423828,1.6654000282287598,126.80000305175781,359.8999938964844,48.400001525878906,,19.2496477338074,44.57283088505167,19.0,94.0,31.0,4.0,2017.0
