,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,483126,483126.0,483126.0,483126.0,0.0,483102.0,0.0,447009.0,447009.0,477935.0,479476.0,478738.0,483102.0,483102.0,483102.0,483102.0,0.0,483102.0,483102.0,483126.0,483126.0,483126.0,483126.0,483126.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,483126,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686399459838867,-95.29475402832031,1428613354.3758771,,75.84634399414062,,10.646559715270996,15.816944122314453,22.198280334472656,10.09384536743164,0.022711947560310364,0.30726873874664307,63.58127212524414,156.97952270507812,5.533813953399658,,-1.794278698252232,1.1366853968799662,13.002848118296262,99.31590723744944,16.245348004454325,3.7721422568853673,2015.0
std,,0.0,0.0,3053191.2317670006,,17.740896224975586,,8.866629600524902,22.059850692749023,13.890575408935547,5.856805801391602,0.8075729608535767,0.3987387418746948,21.664541244506836,88.44951629638672,2.924304485321045,,5.038396155112166,3.045945657469286,3.739031034689811,35.33785168245335,8.521739634925751,1.1741753392092598,0.0
min,,29.686389923095703,-95.29472351074219,1420095600.0,,9.220000267028809,,-0.31106001138687134,-0.03443999961018562,-6.358260154724121,-0.0925000011920929,-1.0244200229644775,0.0002500000118743628,-43.20000076293945,0.0,0.10000000149011612,,-20.2920853353192,-14.218180894892528,7.0,1.0,1.0,1.0,2015.0
25%,,29.686389923095703,-95.29472351074219,1426449000.0,,66.62999725341797,,4.225790023803711,5.240719795227051,12.415499687194824,6.078199863433838,-0.3621399998664856,0.0013800000306218863,58.599998474121094,102.4000015258789,3.299999952316284,,-5.357298808108789,-0.6914522932288603,10.0,74.0,9.0,3.0,2015.0
50%,,29.686389923095703,-95.29472351074219,1429167900.0,,81.5999984741211,,7.881760120391846,9.279749870300293,20.88409996032715,9.021400451660156,-0.19753000140190125,0.08950000256299973,70.19999694824219,156.60000610351562,5.199999809265137,,-1.7050685803892525,1.2625232829298176,13.0,106.0,17.0,4.0,2015.0
75%,,29.686389923095703,-95.29472351074219,1431184500.0,,89.01000213623047,,14.480400085449219,18.142200469970703,29.892200469970703,12.610400199890137,0.09877000004053116,0.5360000133514404,76.5999984741211,194.8000030517578,7.400000095367432,,1.4965264182534082,3.051001910920633,16.0,129.0,24.0,5.0,2015.0
max,,29.686389923095703,-95.29472351074219,1433015700.0,,99.66000366210938,,148.34100341796875,408.177001953125,101.54399871826172,49.06949996948242,15.130499839782715,1.591249942779541,89.80000305175781,359.8999938964844,20.299999237060547,,15.590893711810565,13.146968694555492,19.0,150.0,31.0,5.0,2015.0
