,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,105696,105696.0,105696.0,105696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105696.0,105696.0,105696.0,105696.0,105696.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,105696,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1120305450.0,,,,,,,,,,,,,,,,11.5,183.0,15.722070844686648,6.525885558583107,2005.0
std,,0.0,0.0,9152774.28660168,,,,,,,,,,,,,,,,6.922219298399748,105.9344942533319,8.841924328999925,3.4623493432505583,0.0
min,,29.717599868774414,-95.34140014648438,1104537600.0,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,2005.0
25%,,29.717599868774414,-95.34140014648438,1112378325.0,,,,,,,,,,,,,,,,5.75,91.0,8.0,4.0,2005.0
50%,,29.717599868774414,-95.34140014648438,1120305450.0,,,,,,,,,,,,,,,,11.5,183.0,16.0,7.0,2005.0
75%,,29.717599868774414,-95.34140014648438,1128232575.0,,,,,,,,,,,,,,,,17.25,275.0,23.0,10.0,2005.0
max,,29.717599868774414,-95.34140014648438,1136073300.0,,,,,,,,,,,,,,,,23.0,365.0,31.0,12.0,2005.0
