,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,165184,165184.0,165184.0,165184.0,159532.0,162633.0,158249.0,158249.0,158249.0,156626.0,137000.0,159453.0,164750.0,147434.0,155618.0,155618.0,0.0,155618.0,155618.0,165184.0,165184.0,165184.0,165184.0,165184.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,165184,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686397552490234,-95.2947006225586,1185787646.9779155,255.83299255371094,68.71101379394531,10.353099822998047,14.531745910644531,24.965072631835938,21.81873893737793,13.262101173400879,2.3621602058410645,0.24243439733982086,72.55540466308594,153.4067840576172,4.844421863555908,,-1.1297034163259068,0.982703246640612,11.505157884540875,210.89558310732275,15.844052692754746,7.4383959705540486,2007.0
std,,0.0,0.0,8615434.158157188,308.49853515625,15.916638374328613,29.962940216064453,10.987777709960938,36.43053436279297,18.479442596435547,8.147550582885742,5.877693176269531,0.3603169918060303,13.022096633911133,90.5947494506836,2.8207783699035645,,4.492310242975882,3.0004278520165384,6.921875574924933,99.7153673378135,8.791152494200373,3.2586201881798753,0.0
min,,29.686389923095703,-95.29472351074219,1167609600.0,-179.93939208984375,4.320000171661377,-10.613530158996582,0.0485600009560585,-6.195079803466797,-3.742609977722168,-0.20229999721050262,-4.894050121307373,0.0010000000474974513,28.799999237060547,0.0,0.0,,-19.142151208689434,-15.475831693808765,0.0,1.0,1.0,1.0,2007.0
25%,,29.686389923095703,-95.29472351074219,1179825525.0,92.52664947509766,59.369998931884766,0.49775999784469604,6.302609920501709,7.461510181427002,6.515655040740967,7.472525000572205,0.4393500089645386,0.0031999999191612005,65.19999694824219,91.5,2.799999952316284,,-4.133572488236805,-0.6535062985480411,6.0,142.0,8.0,5.0,2007.0
50%,,29.686389923095703,-95.29472351074219,1186756650.0,168.44491577148438,72.77999877929688,1.4483000040054321,11.069439888000488,13.29127025604248,18.848819732666016,11.577000141143799,0.9231899976730347,0.008500000461935997,76.30000305175781,151.3000030517578,4.5,,-1.2324986455142022,0.9454605830182822,12.0,222.0,16.0,8.0,2007.0
75%,,29.686389923095703,-95.29472351074219,1192950975.0,305.0821838378906,81.5,5.130239963531494,19.869049072265625,26.263999938964844,32.46617889404297,17.46012544631958,2.028049945831299,0.397475004196167,81.5999984741211,199.60000610351562,6.699999809265137,,1.7313325670116844,2.9146472359847317,18.0,294.0,23.0,10.0,2007.0
max,,29.686389923095703,-95.29472351074219,1199145300.0,6278.28759765625,91.55000305175781,542.1486206054688,75.18343353271484,542.2042846679688,135.9686737060547,147.16099548339844,138.63075256347656,1.7741999626159668,100.19999694824219,359.8999938964844,21.899999618530273,,16.373476619163615,14.990636179748693,23.0,365.0,31.0,12.0,2007.0
