,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,264062,264062.0,264062.0,264062.0,282.0,263843.0,282.0,250332.0,250332.0,254746.0,263172.0,255797.0,263977.0,263977.0,263977.0,263977.0,0.0,263977.0,263977.0,264062.0,264062.0,264062.0,264062.0,264062.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,264062,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686399459838867,-95.29469299316406,1393296321.8687277,204.1359100341797,71.0758285522461,6.756750106811523,13.708422660827637,18.992673873901367,23.6263370513916,9.550263404846191,0.6296101212501526,0.21197842061519623,56.46160888671875,159.14651489257812,6.197180271148682,,-0.14347897993611963,0.6331417919827135,11.507475517113406,55.616260575167956,15.085695783565981,2.3547424468496034,2014.0
std,,0.0,0.0,1684125.1005653131,82.01664733886719,17.957706451416016,9.7818021774292,10.011122703552246,23.042259216308594,13.69118881225586,4.9165568351745605,1.4009556770324707,0.3495607376098633,11.994781494140625,107.32302856445312,3.063593864440918,,6.118436380075979,3.1518365605219665,6.911539212503711,19.49567428128976,7.9423347524690175,0.7050186326416858,0.0
min,,29.686389923095703,-95.29472351074219,1388534400.0,86.91780090332031,0.4099999964237213,0.12138000130653381,0.4771000146865845,0.3833400011062622,-0.7267299890518188,-0.0794999971985817,-0.9483000040054321,-0.002099999925121665,27.100000381469727,0.0,0.0,,-16.614945858733318,-14.161328665113375,0.0,1.0,1.0,1.0,2014.0
25%,,29.686389923095703,-95.29472351074219,1392127200.0,137.06268310546875,59.970001220703125,0.7456499934196472,6.545589923858643,7.234389781951904,13.520600318908691,6.3454999923706055,-0.10074999928474426,0.0003000000142492354,48.20000076293945,52.79999923706055,3.9000000953674316,,-4.6358182582549725,-1.2282656889301775,6.0,42.0,9.0,2.0,2014.0
50%,,29.686389923095703,-95.29472351074219,1393576500.0,187.20758056640625,76.05000305175781,1.7340600490570068,10.416000366210938,11.587800025939941,24.42729949951172,8.7608003616333,0.27094000577926636,0.0010999999940395355,58.5,163.1999969482422,5.900000095367432,,-0.6992793988535003,0.7298102113926163,12.0,59.0,15.0,2.0,2014.0
75%,,29.686389923095703,-95.29472351074219,1394704500.0,261.17127990722656,85.87000274658203,8.392860412597656,17.85919952392578,20.974199295043945,32.11349868774414,11.886699676513672,0.779009997844696,0.2890999913215637,66.0999984741211,215.39999389648438,8.300000190734863,,4.871417298052744,2.6318710178493743,17.0,72.0,22.0,3.0,2014.0
max,,29.686389923095703,-95.29472351074219,1395764100.0,463.00445556640625,97.55000305175781,44.86016082763672,61.382198333740234,317.2340087890625,86.3302993774414,64.0614013671875,26.171499252319336,1.5260000228881836,80.19999694824219,359.8999938964844,17.5,,16.584087247079562,10.663849198711953,23.0,84.0,31.0,3.0,2014.0
