,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,61632,61632.0,61632.0,61632.0,58936.0,61590.0,59266.0,59266.0,59266.0,59375.0,60519.0,59353.0,60811.0,61590.0,61590.0,61590.0,0.0,61590.0,61590.0,61632.0,61632.0,61632.0,61632.0,61632.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,61632,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686397552490234,-95.29472351074219,1342483050.0,144.6876983642578,65.27906799316406,3.7126197814941406,9.640467643737793,13.434258460998535,26.47006607055664,12.252090454101562,0.6989965438842773,0.35381999611854553,78.46451568603516,166.87728881835938,5.039185047149658,,-2.1832879988912075,0.4205697764189626,11.5,198.5,15.789719626168225,7.009345794392523,2012.0
std,,0.0,0.0,5337531.0696987985,171.9896697998047,14.544635772705078,14.308588981628418,9.039244651794434,20.233444213867188,18.599628448486328,6.203510284423828,1.8972045183181763,0.4809555411338806,7.837353229522705,83.15864562988281,2.732421398162842,,4.382025149379747,2.9519609731401264,6.922242710521599,61.77630549773006,8.827476209691033,1.997656529806695,0.0
min,,29.686389923095703,-95.29472351074219,1333238400.0,-174.43104553222656,8.789999961853027,-0.265749990940094,0.0,0.1002499982714653,-1.4287199974060059,-0.09000000357627869,-0.7542499899864197,-0.002199999988079071,45.5,0.0,0.0,,-17.79671961612457,-15.287426823827085,0.0,92.0,1.0,4.0,2012.0
25%,,29.686389923095703,-95.29472351074219,1337860725.0,54.82115936279297,54.97999954223633,0.24310000240802765,3.67372989654541,4.409939765930176,11.726685047149658,8.001149654388428,0.04967999830842018,-0.00019999999494757503,74.5,123.0999984741211,2.9000000953674316,,-5.150649333579841,-1.4328954944439745,5.75,145.0,8.0,5.0,2012.0
50%,,29.686389923095703,-95.29472351074219,1342483050.0,106.99591827392578,68.31999969482422,0.6742200255393982,6.228320121765137,7.183499813079834,24.09593963623047,11.092000007629395,0.22603000700473785,0.041099999099969864,78.9000015258789,172.1999969482422,4.699999809265137,,-2.4425163781363737,0.368387171533809,11.5,198.5,16.0,7.0,2012.0
75%,,29.686389923095703,-95.29472351074219,1347105375.0,175.0281982421875,77.68000030517578,1.7157299518585205,11.947110176086426,14.24435043334961,37.224491119384766,15.461949825286865,0.5972999930381775,0.6417999863624573,83.5,209.6999969482422,6.800000190734863,,0.5009849135926151,2.250978526111394,17.25,252.0,23.0,9.0,2012.0
max,,29.686389923095703,-95.29472351074219,1351727700.0,2966.213134765625,87.91000366210938,314.1183166503906,89.14777374267578,360.37060546875,131.88941955566406,152.8489990234375,63.45991897583008,1.9364999532699585,101.0999984741211,359.8999938964844,17.799999237060547,,13.852589979171258,12.544080753998804,23.0,305.0,31.0,10.0,2012.0
