,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,96924,96924.0,96924.0,96924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96924.0,96924.0,96924.0,96924.0,96924.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,96924,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717592239379883,-95.34142303466797,1153753509.304197,,,,,,,,,,,,,,,,13.002228550204284,205.0677231645413,15.862448929057818,7.24798811439891,2006.0
std,,0.0,0.0,8466124.142912563,,,,,,,,,,,,,,,,3.7421723325808984,97.98751230204006,8.866268287206058,3.20387933440924,0.0
min,,29.717599868774414,-95.34140014648438,1136098800.0,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,2006.0
25%,,29.717599868774414,-95.34140014648438,1147503900.0,,,,,,,,,,,,,,,,10.0,133.0,8.0,5.0,2006.0
50%,,29.717599868774414,-95.34140014648438,1154187750.0,,,,,,,,,,,,,,,,13.0,210.0,16.0,7.0,2006.0
75%,,29.717599868774414,-95.34140014648438,1160911200.0,,,,,,,,,,,,,,,,16.0,288.0,24.0,10.0,2006.0
max,,29.717599868774414,-95.34140014648438,1167594900.0,,,,,,,,,,,,,,,,19.0,365.0,31.0,12.0,2006.0
