,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,56940,56940.0,56940.0,56940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56940.0,56940.0,56940.0,56940.0,56940.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,56940,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.6863956451416,-95.29471588134766,1025616450.0,,,,,,,,,,,,,,,,13.0,183.0,15.72054794520548,6.526027397260274,2002.0
std,,0.0,0.0,9103714.843844512,,,,,,,,,,,,,,,,3.7416902433481574,105.36695393050549,8.796324245715537,3.4478815986302567,0.0
min,,29.686389923095703,-95.29472351074219,1009868400.0,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,2002.0
25%,,29.686389923095703,-95.29472351074219,1017742425.0,,,,,,,,,,,,,,,,10.0,92.0,8.0,4.0,2002.0
50%,,29.686389923095703,-95.29472351074219,1025616450.0,,,,,,,,,,,,,,,,13.0,183.0,16.0,7.0,2002.0
75%,,29.686389923095703,-95.29472351074219,1033490475.0,,,,,,,,,,,,,,,,16.0,274.0,23.0,10.0,2002.0
max,,29.686389923095703,-95.29472351074219,1041364500.0,,,,,,,,,,,,,,,,19.0,365.0,31.0,12.0,2002.0
