,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,57252,57252.0,57252.0,57252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57252.0,57252.0,57252.0,57252.0,57252.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,57252,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1246455556.26703,,,,,,,,,,,,,,,,13.0,182.00817438692098,15.640326975476839,6.4959128065395095,2009.0
std,,0.0,0.0,9152385.737714902,,,,,,,,,,,,,,,,3.741690064290911,105.93027507840736,8.839011864538628,3.462457554128032,0.0
min,,29.717599868774414,-95.34140014648438,1230793200.0,,,,,,,,,,,,,,,,7.0,1.0,1.0,1.0,2009.0
25%,,29.717599868774414,-95.34140014648438,1238517825.0,,,,,,,,,,,,,,,,10.0,90.0,8.0,3.0,2009.0
50%,,29.717599868774414,-95.34140014648438,1246454850.0,,,,,,,,,,,,,,,,13.0,182.0,16.0,7.0,2009.0
75%,,29.717599868774414,-95.34140014648438,1254391875.0,,,,,,,,,,,,,,,,16.0,274.0,23.0,10.0,2009.0
max,,29.717599868774414,-95.34140014648438,1262289300.0,,,,,,,,,,,,,,,,19.0,365.0,31.0,12.0,2009.0
