,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,105984,105984.0,105984.0,105984.0,101989.0,105831.0,101311.0,101311.0,101311.0,100794.0,95772.0,101904.0,105021.0,105831.0,105528.0,105540.0,0.0,105528.0,105528.0,105984.0,105984.0,105984.0,105984.0,105984.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,105984,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686397552490234,-95.29471588134766,1341101354.347826,189.55953979492188,65.50504302978516,5.663751125335693,11.237630844116211,16.929664611816406,24.37783432006836,11.695436477661133,0.8458642959594727,0.2908950746059418,71.70588684082031,163.8466033935547,5.318164825439453,,-1.7882169953996527,0.5067705435342588,11.5,182.50815217391303,15.67663043478261,6.483695652173913,2012.0
std,,0.0,0.0,9177317.912476992,222.6873779296875,16.613561630249023,19.53101921081543,9.9270658493042,25.832944869995117,16.994577407836914,6.471477031707764,2.2783312797546387,0.4312402009963989,11.976216316223145,88.34403228759766,2.972975969314575,,4.887993838390084,3.1256651141280596,6.922219209415509,106.21856504916805,8.854314724438844,3.465648144173992,0.0
min,,29.686389923095703,-95.29472351074219,1325376000.0,-174.43104553222656,8.789999961853027,-4.213850021362305,-3.9864699840545654,-6.1142802238464355,-1.4287199974060059,-0.09000000357627869,-0.8181700110435486,-0.002199999988079071,32.5,0.0,0.0,,-19.59767428494294,-18.92505833705728,0.0,1.0,1.0,1.0,2012.0
25%,,29.686389923095703,-95.29472351074219,1333151925.0,77.36670684814453,54.52000045776367,0.25540998578071594,4.089640140533447,4.839739799499512,11.689009666442871,7.571874976158142,0.033309999853372574,-9.999999747378752e-05,64.30000305175781,113.5,3.0,,-5.065303411093851,-1.34350288425444,5.75,90.75,8.0,3.0,2012.0
50%,,29.686389923095703,-95.29472351074219,1341100650.0,136.09866333007812,69.36000061035156,0.8197900056838989,7.622580051422119,8.700730323791504,22.557825088500977,10.55270004272461,0.2461100071668625,0.006099999882280827,73.80000305175781,167.6999969482422,5.0,,-2.0966405715006546,0.5279255448439886,11.5,182.5,16.0,6.5,2012.0
75%,,29.686389923095703,-95.29472351074219,1349049375.0,218.9267578125,79.19999694824219,2.4417800903320312,15.17488956451416,17.997129440307617,33.584476470947266,14.689175128936768,0.7659400105476379,0.4950999915599823,80.0999984741211,210.0,7.199999809265137,,1.2803363902087588,2.428345399369786,17.25,274.25,23.0,9.25,2012.0
max,,29.686389923095703,-95.29472351074219,1356998100.0,6107.8232421875,94.37999725341797,404.18487548828125,101.30050659179688,449.0926818847656,131.88941955566406,152.8489990234375,78.07288360595703,1.9364999532699585,101.0999984741211,359.8999938964844,22.5,,18.77248922468807,12.544080753998804,23.0,366.0,31.0,12.0,2012.0
