,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,123264,123264.0,123264.0,123264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123264.0,123264.0,123264.0,123264.0,123264.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,123264,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717592239379883,-95.34142303466797,1216252650.0,,,,,,,,,,,,,,,,11.5,198.5,15.789719626168225,7.009345794392523,2008.0
std,,0.0,0.0,5337509.4186685,,,,,,,,,,,,,,,,6.922214631305815,61.776054909837534,8.82744040213275,1.9976484265616765,0.0
min,,29.717599868774414,-95.34140014648438,1207008000.0,,,,,,,,,,,,,,,,0.0,92.0,1.0,4.0,2008.0
25%,,29.717599868774414,-95.34140014648438,1211630325.0,,,,,,,,,,,,,,,,5.75,145.0,8.0,5.0,2008.0
50%,,29.717599868774414,-95.34140014648438,1216252650.0,,,,,,,,,,,,,,,,11.5,198.5,16.0,7.0,2008.0
75%,,29.717599868774414,-95.34140014648438,1220874975.0,,,,,,,,,,,,,,,,17.25,252.0,23.0,9.0,2008.0
max,,29.717599868774414,-95.34140014648438,1225497300.0,,,,,,,,,,,,,,,,23.0,305.0,31.0,10.0,2008.0
