,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,61632,61632.0,61632.0,61632.0,41049.0,51492.0,0.0,0.0,0.0,49263.0,0.0,0.0,0.0,51492.0,51501.0,51501.0,0.0,51501.0,51501.0,61632.0,61632.0,61632.0,61632.0,61632.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,61632,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.71759605407715,-95.34142303466797,1279324650.0,167.61541748046875,66.30883026123047,,,,32.63248825073242,,,,80.84031677246094,162.02508544921875,8.396072387695312,,-3.6865102684687394,0.9123628957158173,11.5,197.5,15.789719626168225,7.009345794392523,2010.0
std,,0.0,0.0,5337531.0696987985,102.1801528930664,17.220312118530273,,,,19.904165267944336,,,,6.648630619049072,81.33634185791016,4.418740272521973,,6.881355629900726,5.31456119344921,6.922242710521599,61.77630549773006,8.827476209691033,1.997656529806695,0.0
min,,29.717599868774414,-95.34140014648438,1270080000.0,-2828.050048828125,9.300999641418457,,,,-1.690999984741211,,,,53.78200149536133,0.0,0.0,,-28.33480928358005,-22.933799783958893,0.0,91.0,1.0,4.0,2010.0
25%,,29.717599868774414,-95.34140014648438,1274702325.0,117.64800262451172,54.38775062561035,,,,17.26099967956543,,,,77.46399688720703,119.0,5.36899995803833,,-8.280341610871343,-2.5637590594737967,5.75,144.0,8.0,5.0,2010.0
50%,,29.717599868774414,-95.34140014648438,1279324650.0,149.5070037841797,69.89299774169922,,,,28.756000518798828,,,,80.96750259399414,171.0,7.989999771118164,,-4.2828384458525335,0.5911542732606065,11.5,197.5,16.0,7.0,2010.0
75%,,29.717599868774414,-95.34140014648438,1283946975.0,190.89300537109375,80.49224662780762,,,,43.77949905395508,,,,85.104248046875,212.0,10.956000328063965,,0.8083606538994488,4.246803788109178,17.25,251.0,23.0,9.0,2010.0
max,,29.717599868774414,-95.34140014648438,1288569300.0,5481.89990234375,93.62799835205078,,,,159.572998046875,,,,99.99199676513672,359.0,30.469999313354492,,26.84636036374311,30.007092234281977,23.0,304.0,31.0,10.0,2010.0
