,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,147762,147762.0,147762.0,147762.0,121394.0,147762.0,0.0,0.0,0.0,147762.0,0.0,0.0,0.0,147762.0,147762.0,147762.0,0.0,147762.0,147762.0,147762.0,147762.0,147762.0,147762.0,147762.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,147762,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717592239379883,-95.34142303466797,1429228858.0968044,175.84255981445312,53.690250396728516,,,,50.87773513793945,,,,72.82147216796875,170.1834259033203,10.522522926330566,,-4.831883064991513,2.558772617243345,13.91707610887779,106.40181508100865,15.99477538203327,4.016235568008013,2015.0
std,,0.0,0.0,2573272.754187482,40.752437591552734,17.919450759887695,,,,10.579358100891113,,,,6.648484706878662,76.93794250488281,4.984892845153809,,7.017517810494059,7.512206506409819,7.705151932182931,29.83529320141989,9.849326074888175,1.0732286972385183,0.0
min,,29.717599868774414,-95.34140014648438,1420600200.0,42.12200164794922,13.16100025177002,,,,40.00299835205078,,,,39.01900100708008,0.0,0.0,,-31.70164988944231,-36.93384660006053,0.0,7.0,1.0,1.0,2015.0
25%,,29.717599868774414,-95.34140014648438,1427592000.0,146.81199645996094,40.56700134277344,,,,43.566001892089844,,,,68.97100067138672,124.0,7.304999828338623,,-9.252905980962744,-2.4761585584906785,6.0,88.0,5.0,3.0,2015.0
50%,,29.717599868774414,-95.34140014648438,1430008800.0,169.29299926757812,54.45600128173828,,,,48.29499816894531,,,,73.62200164794922,157.0,10.10200023651123,,-5.949117792454188,2.4935264949873623,17.0,116.0,18.0,4.0,2015.0
75%,,29.717599868774414,-95.34140014648438,1430696700.0,200.29200744628906,67.36299896240234,,,,55.016998291015625,,,,77.99099731445312,216.0,13.39799976348877,,-0.9757235188055052,8.021505338035384,20.0,123.0,25.0,5.0,2015.0
max,,29.717599868774414,-95.34140014648438,1433031900.0,358.19500732421875,93.5250015258789,,,,192.3679962158203,,,,88.43000030517578,359.0,39.41400146484375,,39.19808598404512,27.024181487656737,23.0,151.0,31.0,5.0,2015.0
