,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,105660,105660.0,105660.0,105660.0,34338.0,95547.0,0.0,0.0,0.0,98546.0,0.0,0.0,0.0,104331.0,95547.0,104595.0,0.0,95547.0,95547.0,105660.0,105660.0,105660.0,105660.0,105660.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,105660,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34141540527344,1310649282.1635435,189.92669677734375,67.58197784423828,,,,29.991363525390625,,,,71.0694580078125,164.71405029296875,9.548852920532227,,-2.326600924153381,0.6476225467764247,13.002044293015333,194.99102782509937,15.782169222032936,6.920954003407155,2011.0
std,,0.0,0.0,8620917.708204113,92.3634262084961,19.43572425842285,,,,16.599828720092773,,,,13.801896095275879,94.1536636352539,5.068413257598877,,8.451714371598149,5.683829596241292,3.7421298093232993,99.77913710161907,8.850469133145282,3.2607637688151425,0.0
min,,29.717599868774414,-95.34140014648438,1293865200.0,-199.88699340820312,12.51200008392334,,,,-1.3200000524520874,,,,19.506999969482422,0.0,0.0,,-34.802479701446835,-31.35419905685977,7.0,1.0,1.0,1.0,2011.0
25%,,29.717599868774414,-95.34140014648438,1303455900.0,136.4360008239746,53.22600173950195,,,,17.93000030517578,,,,62.54600143432617,98.0,6.006999969482422,,-8.068312766235664,-3.058642197810455,10.0,112.0,8.0,4.0,2011.0
50%,,29.717599868774414,-95.34140014648438,1310744550.0,165.18599700927734,71.48999786376953,,,,28.172000885009766,,,,74.08000183105469,171.0,9.088000297546387,,-3.145217238022848,0.42231236808597455,13.0,196.0,16.0,7.0,2011.0
75%,,29.717599868774414,-95.34140014648438,1318072800.0,211.69000244140625,82.74099731445312,,,,39.53799819946289,,,,80.52400207519531,229.0,12.63599967956543,,3.0047155980204643,4.3272573632294495,16.0,281.0,23.0,10.0,2011.0
max,,29.717599868774414,-95.34140014648438,1325361300.0,2221.2099609375,205.781005859375,,,,232.98300170898438,,,,101.91500091552734,359.0,40.93000030517578,,26.309296864470053,32.21513737646574,19.0,365.0,31.0,12.0,2011.0
