,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,48845,48845.0,48845.0,48845.0,0.0,48845.0,0.0,48037.0,48037.0,48845.0,40087.0,48386.0,48845.0,48845.0,48845.0,48845.0,0.0,48845.0,48845.0,48845.0,48845.0,48845.0,48845.0,48845.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,48845,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.6863956451416,-95.29471588134766,1489447866.209438,,49.41617202758789,,5.217325210571289,7.237868309020996,45.19572448730469,7.808751106262207,0.06662612408399582,0.642468273639679,74.97123718261719,183.86663818359375,7.814642429351807,,-4.483404198436204,0.9691070132622979,17.19856689528099,72.24428293581738,16.17846248336575,2.8805814310574265,2017.0
std,,0.0,0.0,1590807.6171195253,,17.962867736816406,,2.4794015884399414,4.321338653564453,4.314033508300781,5.662328243255615,0.6922008991241455,0.4762498140335083,6.9411540031433105,69.45623016357422,3.0001091957092285,,5.158016987668585,4.7354922482599235,6.034017446796861,18.434983158270956,10.311634793113726,0.7639783481053111,0.0
min,,29.686389923095703,-95.29472351074219,1483469700.0,,10.670000076293945,,1.1870299577713013,-1.2386599779129028,40.00090026855469,-0.3296999931335449,-0.7675399780273438,0.0010000000474974513,56.70000076293945,0.5,0.30000001192092896,,-36.08002686851695,-13.086101308529505,0.0,3.0,1.0,1.0,2017.0
25%,,29.686389923095703,-95.29472351074219,1488149100.0,,34.77000045776367,,3.543109893798828,4.577280044555664,41.73680114746094,4.5,-0.24205000698566437,0.219200000166893,69.69999694824219,136.89999389648438,5.800000190734863,,-8.500147271343799,-2.4266851491987156,17.0,57.0,4.0,2.0,2017.0
50%,,29.686389923095703,-95.29472351074219,1489954800.0,,47.97999954223633,,4.586259841918945,6.404230117797852,44.047000885009766,6.942200183868408,-0.11234000325202942,0.5726000070571899,76.30000305175781,174.6999969482422,8.199999809265137,,-4.997449130560849,0.6590564041138987,19.0,78.0,19.0,3.0,2017.0
75%,,29.686389923095703,-95.29472351074219,1490901900.0,,62.91999816894531,,6.094250202178955,8.499839782714844,47.828399658203125,9.227399826049805,0.11232999712228775,1.0599000453948975,80.80000305175781,218.5,10.0,,-1.3841507192678992,4.467224157897783,21.0,89.0,25.0,3.0,2017.0
max,,29.686389923095703,-95.29472351074219,1491433500.0,,94.5999984741211,,25.344600677490234,40.09260177612305,69.25340270996094,32.26210021972656,6.82574987411499,1.6654000282287598,93.9000015258789,359.8999938964844,36.900001525878906,,13.98230028564807,36.32816734105671,23.0,95.0,31.0,4.0,2017.0
