,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,38761,38761.0,38761.0,38761.0,29517.0,38761.0,0.0,0.0,0.0,38761.0,0.0,0.0,0.0,38761.0,38761.0,38761.0,0.0,38761.0,38761.0,38761.0,38761.0,38761.0,38761.0,38761.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,38761,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.71759605407715,-95.34141540527344,1394154175.6998014,180.8148193359375,53.11245346069336,,,,49.167301177978516,,,,64.42279815673828,186.12388610839844,10.628422737121582,,-6.3588466958767595,-0.012656959181065956,14.91566265060241,65.40324037047547,16.33636903072676,2.6533887154614173,2014.0
std,,0.0,0.0,1496552.0354260711,32.92927551269531,18.984607696533203,,,,8.072065353393555,,,,6.458569049835205,66.51209259033203,4.623912811279297,,7.123194955963902,6.570449866519857,7.76899998147758,17.41158214528771,5.442419341751441,0.615215514107335,0.0
min,,29.717599868774414,-95.34140014648438,1388852400.0,103.55500030517578,13.237000465393066,,,,40.00199890136719,,,,43.763999938964844,0.0,0.1679999977350235,,-23.693557726968717,-24.481185943433992,0.0,4.0,4.0,1.0,2014.0
25%,,29.717599868774414,-95.34140014648438,1393532400.0,158.45799255371094,40.816001892089844,,,,43.637001037597656,,,,59.694000244140625,147.0,7.604000091552734,,-11.185722171589997,-4.157505332417892,7.0,58.0,12.0,2.0,2014.0
50%,,29.717599868774414,-95.34140014648438,1394591700.0,171.90699768066406,51.433998107910156,,,,47.525001525878906,,,,64.2959976196289,176.0,10.651000022888184,,-7.2618627888863,0.5045588921929633,18.0,71.0,18.0,3.0,2014.0
75%,,29.717599868774414,-95.34140014648438,1395214500.0,196.8780059814453,65.37100219726562,,,,51.974998474121094,,,,69.51000213623047,222.0,13.788999557495117,,-2.928863773416923,4.566093366261621,21.0,78.0,21.0,3.0,2014.0
max,,29.717599868774414,-95.34140014648438,1395763800.0,587.8489990234375,91.9000015258789,,,,94.1510009765625,,,,79.17900085449219,359.0,27.759000778198242,,15.365022713943508,16.029038779771472,23.0,84.0,31.0,3.0,2014.0
