,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,76800,76800.0,76800.0,76800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76800.0,76800.0,76800.0,76800.0,76800.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,76800,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1059776346.0,,,,,,,,,,,,,,,,11.51,213.43125,16.12875,7.51875,2003.0
std,,0.0,0.0,5558985.40113439,,,,,,,,,,,,,,,,6.9202979397223725,64.33921178893982,8.724859003132336,2.0747781781047565,0.0
min,,29.717599868774414,-95.34140014648438,1049155200.0,,,,,,,,,,,,,,,,0.0,91.0,1.0,4.0,2003.0
25%,,29.717599868774414,-95.34140014648438,1054915125.0,,,,,,,,,,,,,,,,6.0,157.0,9.0,6.0,2003.0
50%,,29.717599868774414,-95.34140014648438,1060675050.0,,,,,,,,,,,,,,,,12.0,224.0,16.0,8.0,2003.0
75%,,29.717599868774414,-95.34140014648438,1064764575.0,,,,,,,,,,,,,,,,18.0,271.0,24.0,9.0,2003.0
max,,29.717599868774414,-95.34140014648438,1067644500.0,,,,,,,,,,,,,,,,23.0,304.0,31.0,10.0,2003.0
