,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,749376,749376.0,749376.0,749376.0,0.0,749334.0,0.0,716056.0,716056.0,723366.0,702469.0,725574.0,749334.0,749334.0,749334.0,749334.0,0.0,749334.0,749334.0,749376.0,749376.0,749376.0,749376.0,749376.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,749376,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.686370849609375,-95.29481506347656,1459624365.09616,,71.97205352783203,,10.511170387268066,15.395224571228027,28.25804901123047,10.042539596557617,0.15376794338226318,0.2585093080997467,69.19715118408203,162.49057006835938,5.7823333740234375,,-1.4493290266282857,0.9423198552398092,11.538952408403793,93.30063412759417,15.236877081732,3.5787695362541636,2016.0
std,,0.0,0.0,2897069.853587701,,20.01145362854004,,8.73904037475586,20.526470184326172,15.871248245239258,7.0869526863098145,0.8788748383522034,0.37879228591918945,9.049092292785645,96.55693817138672,3.2654764652252197,,5.323474533131063,3.5736302488638656,6.927370618929543,33.53579310976758,8.476509104841808,1.1597223744241973,0.0
min,,29.686389923095703,-95.29472351074219,1451606400.0,,12.880000114440918,,0.25053998827934265,-0.24966000020503998,-0.4320699870586395,-0.06350000202655792,-1.2239099740982056,0.00013000000035390258,36.70000076293945,0.0,0.0,,-19.638029122178413,-17.191794909097553,0.0,1.0,1.0,1.0,2016.0
25%,,29.686389923095703,-95.29472351074219,1457587200.0,,59.779998779296875,,4.3925299644470215,5.474629878997803,17.587799072265625,6.186699867248535,-0.32774001359939575,0.0012499999720603228,64.5,98.5999984741211,3.299999952316284,,-5.107872650564729,-0.9120991827764702,6.0,70.0,8.0,3.0,2016.0
50%,,29.686389923095703,-95.29472351074219,1460126700.0,,77.08000183105469,,7.357490062713623,9.044549942016602,28.209400177001953,9.051600456237793,-0.08173000067472458,0.012880000285804272,70.69999694824219,162.39999389648438,5.5,,-1.5752332462239649,0.7233585700158657,12.0,99.0,15.0,4.0,2016.0
75%,,29.686389923095703,-95.29472351074219,1462078200.0,,88.23999786376953,,14.029999732971191,16.851900100708008,37.79750061035156,12.830400466918945,0.3473300039768219,0.4303799867630005,75.5,210.39999389648438,7.900000095367432,,2.3233670779821103,2.9621269578086435,18.0,122.0,22.0,5.0,2016.0
max,,29.686389923095703,-95.29472351074219,1463884800.0,,99.73999786376953,,108.56800079345703,425.0140075683594,127.93199920654297,676.177001953125,13.148799896240234,1.469249963760376,88.30000305175781,359.8999938964844,26.100000381469727,,17.1546082211735,16.698883262387707,23.0,143.0,31.0,5.0,2016.0
