,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,24403,24403.0,24403.0,24403.0,22673.0,23724.0,24006.0,24006.0,24006.0,24403.0,19967.0,23875.0,24403.0,21192.0,23674.0,23674.0,0.0,23674.0,23674.0,24403.0,24403.0,24403.0,24403.0,24403.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0416,,,,,,,,,,,,,,,,,,,,,,,
freq,24403,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.68639373779297,-95.29471588134766,1185498673.8228905,162.136962890625,52.80042266845703,0.8553057909011841,9.494641304016113,10.427438735961914,54.3684196472168,14.491155624389648,3.1473913192749023,0.5986331701278687,80.79802703857422,138.31922912597656,5.658878803253174,,-1.6901997908175894,2.1137663780187137,16.546203335655452,207.34098266606566,15.681883374994877,7.331393681104783,2007.0
std,,0.0,0.0,7331191.996023535,95.11058807373047,14.826422691345215,0.9465874433517456,6.200258731842041,6.679011821746826,13.129683494567871,8.852092742919922,5.473411560058594,0.4285791218280792,8.629291534423828,78.12791442871094,2.312715768814087,,4.355378177190621,3.3284389700236687,6.508304718948653,84.81380738373801,8.832344248231745,2.7766119240500147,0.0
min,,29.686389923095703,-95.29472351074219,1168458900.0,-96.86673736572266,11.239999771118164,-0.7286499738693237,0.5449900031089783,0.5147200226783752,40.004859924316406,-0.02290000021457672,-4.843589782714844,0.0010999999940395355,48.0,0.0,0.10000000149011612,,-15.40266633726968,-15.170006105532494,0.0,10.0,1.0,1.0,2007.0
25%,,29.686389923095703,-95.29472351074219,1178911950.0,101.85555267333984,42.099998474121094,0.27094000577926636,5.402565121650696,6.027239799499512,44.3945198059082,7.957900047302246,0.7902899980545044,0.20754999667406082,75.19999694824219,85.39998626708984,4.099999904632568,,-4.763617505449188,0.18572650417589198,16.0,131.0,9.0,5.0,2007.0
50%,,29.686389923095703,-95.29472351074219,1186944000.0,143.0298309326172,53.89500045776367,0.6239449977874756,7.88375997543335,8.768619537353516,50.52143859863281,12.909199714660645,1.4156800508499146,0.5938000082969666,82.5,134.1999969482422,5.5,,-2.2219037950169733,2.7025723108164907,19.0,224.0,16.0,8.0,2007.0
75%,,29.686389923095703,-95.29472351074219,1191273300.0,204.3062286376953,63.072500228881836,1.1826274991035461,11.745189666748047,12.809359550476074,60.60002136230469,19.358450889587402,3.1119000911712646,0.9628500044345856,87.19999694824219,176.8000030517578,7.099999904632568,,1.6059404097763084,4.405759912442974,21.0,274.0,23.0,10.0,2007.0
max,,29.686389923095703,-95.29472351074219,1199142300.0,1050.953125,90.66000366210938,16.43096923828125,63.842918395996094,65.68036651611328,135.9686737060547,72.3458023071289,102.22857666015625,1.666200041770935,100.19999694824219,359.8999938964844,19.200000762939453,,14.468414929305634,14.990636179748693,23.0,365.0,31.0,12.0,2007.0
