,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,117312,117312.0,117312.0,117312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117312.0,117312.0,117312.0,117312.0,117312.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,117312,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717592239379883,-95.34142303466797,1153518001.227496,,,,,,,,,,,,,,,,11.506546644844518,202.40425531914894,16.04091653027823,7.162029459901801,2006.0
std,,0.0,0.0,5118808.828277447,,,,,,,,,,,,,,,,6.923473848767818,59.24518985284128,8.874870028541194,1.9262075761843076,0.0
min,,29.717599868774414,-95.34140014648438,1143849600.0,,,,,,,,,,,,,,,,0.0,91.0,1.0,4.0,2006.0
25%,,29.717599868774414,-95.34140014648438,1149141525.0,,,,,,,,,,,,,,,,6.0,152.0,8.0,6.0,2006.0
50%,,29.717599868774414,-95.34140014648438,1153540650.0,,,,,,,,,,,,,,,,12.0,203.0,16.0,7.0,2006.0
75%,,29.717599868774414,-95.34140014648438,1157939775.0,,,,,,,,,,,,,,,,18.0,254.0,24.0,9.0,2006.0
max,,29.717599868774414,-95.34140014648438,1162338900.0,,,,,,,,,,,,,,,,23.0,304.0,31.0,10.0,2006.0
