,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,146441,146441.0,146441.0,146441.0,95333.0,146312.0,0.0,0.0,0.0,125779.0,0.0,0.0,0.0,146312.0,146312.0,146312.0,0.0,146312.0,146312.0,146441.0,146441.0,146441.0,146441.0,146441.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,146441,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717592239379883,-95.34142303466797,1393238198.4334989,213.15135192871094,70.80830383300781,,,,24.09233856201172,,,,54.63951873779297,155.04598999023438,10.025562286376953,,0.6907259142140687,0.9901550197856356,12.99003011451711,54.88176125538613,15.200415184272165,2.3264113192343676,2014.0
std,,0.0,0.0,1727708.25876058,85.09684753417969,20.224424362182617,,,,13.04332160949707,,,,11.867456436157227,112.00971984863281,4.740915298461914,,9.740231897670935,5.163256108871472,3.7374258311750506,19.997688629095663,7.8826647834822765,0.724788108420198,0.0
min,,29.717599868774414,-95.34140014648438,1388559600.0,-19.51799964904785,11.692999839782715,,,,-37.20500183105469,,,,26.384000778198242,0.0,0.0,,-23.465760941604,-24.481185943433992,7.0,1.0,1.0,1.0,2014.0
25%,,29.717599868774414,-95.34140014648438,1392027900.0,162.42999267578125,58.75600051879883,,,,14.862000465393066,,,,46.88100051879883,38.0,6.783999919891357,,-7.0939999999999985,-1.9403964754099803,10.0,41.0,9.0,2.0,2014.0
50%,,29.717599868774414,-95.34140014648438,1393520700.0,192.11099243164062,76.48100280761719,,,,24.533000946044922,,,,56.51100158691406,156.0,9.89799976348877,,-0.2313128280656501,1.3059076462846615,13.0,58.0,16.0,2.0,2014.0
75%,,29.717599868774414,-95.34140014648438,1394703600.0,238.61700439453125,88.45800018310547,,,,31.732999801635742,,,,64.26000213623047,225.0,12.909000396728516,,8.621448457435557,4.153050746184732,16.0,72.0,22.0,3.0,2014.0
max,,29.717599868774414,-95.34140014648438,1395764100.0,1000.0,93.93499755859375,,,,71.46900177001953,,,,78.59200286865234,359.0,28.5310001373291,,27.46899864800852,19.629888854923813,19.0,84.0,31.0,3.0,2014.0
