,AQS_Code,Latitude,Longitude,epoch,co,humid,no,no2,nox,o3,pm25,so2,solar,temp,winddir,windspd,dew,wind_x_dir,wind_y_dir,hour,day_of_year,day,month,year
count,50760,50760.0,50760.0,50760.0,27664.0,35661.0,0.0,0.0,0.0,33626.0,0.0,0.0,0.0,35661.0,35662.0,35662.0,0.0,35662.0,35662.0,50760.0,50760.0,50760.0,50760.0,50760.0
unique,1,,,,,,,,,,,,,,,,,,,,,,,
top,48_201_0695,,,,,,,,,,,,,,,,,,,,,,,
freq,50760,,,,,,,,,,,,,,,,,,,,,,,
mean,,29.717594146728516,-95.34142303466797,1279817548.7234042,172.79348754882812,64.2152099609375,,,,32.42506408691406,,,,73.2461166381836,157.6251983642578,9.957318305969238,,-4.218702334523972,1.638703953598273,8.7,203.32151300236407,15.815602836879433,7.1891252955082745,2010.0
std,,0.0,0.0,9651197.91810568,79.77315521240234,18.625764846801758,,,,16.620628356933594,,,,12.722437858581543,80.9593505859375,4.091978073120117,,8.272096828920908,5.194640489767932,8.87758709509856,111.70306651392549,8.763002084394463,3.6492108506639473,0.0
min,,29.717599868774414,-95.34140014648438,1262304000.0,-1917.6300048828125,9.300999641418457,,,,1.2999999523162842,,,,36.57500076293945,0.0,0.0,,-27.181431713265372,-19.44298656450186,0.0,1.0,1.0,1.0,2010.0
25%,,29.717599868774414,-95.34140014648438,1271366925.0,127.30000305175781,52.444000244140625,,,,20.120500564575195,,,,64.41600036621094,127.0,7.192999839782715,,-9.90457329692266,-1.9031227271114226,2.0,105.0,8.0,4.0,2010.0
50%,,29.717599868774414,-95.34140014648438,1280465850.0,159.43599700927734,67.58699798583984,,,,30.171500205993652,,,,76.91799926757812,165.0,9.78350019454956,,-6.500040506063131,1.5811425388792222,4.5,211.0,16.0,7.0,2010.0
75%,,29.717599868774414,-95.34140014648438,1289265075.0,200.78700256347656,78.91600036621094,,,,40.558998107910156,,,,82.79199981689453,197.0,12.517000198364258,,1.0941636184322616,5.065158281460766,21.0,313.0,23.0,11.0,2010.0
max,,29.717599868774414,-95.34140014648438,1293839700.0,1515.6199951171875,94.8010025024414,,,,139.70700073242188,,,,98.10900115966797,359.0,27.798999786376953,,27.794766077652522,23.89590397220784,23.0,365.0,31.0,12.0,2010.0
